街区,租赁方式,朝向,每月租金,行政区,板块,房屋面积,格局,发布时长
,,,4200,闵行,莘庄北广场,53.00㎡,2室1厅1卫,"
            链家          "
,,,8000,浦东,御桥,109.00㎡,3室2厅1卫,"
            链家          "
,,,5500,浦东,唐镇,62.88㎡,2室2厅2卫,"
            链家          "
,,,7800,宝山,共康,98.01㎡,3室2厅1卫,"
            链家          "
,,,17000,浦东,北蔡,162.31㎡,4室2厅2卫,"
            链家          "
,,,11500,静安,不夜城,82.60㎡,2室2厅2卫,"
            链家          "
,,,3200,金山,金山新城,109.90㎡,3室2厅2卫,"
            链家          "
,,,3400,松江,泗泾,67.12㎡,2室1厅1卫,"
            链家          "
,,,3700,青浦,夏阳,73.54㎡,2室1厅1卫,"
            链家          "
,,,5300,浦东,杨思前滩,103.00㎡,3室1厅1卫,"
            链家          "
,,,2200,松江,松江老城,89.02㎡,2室1厅1卫,"
            链家          "
,,,5900,杨浦,黄兴公园,47.12㎡,2室1厅1卫,"
            链家          "
,,,4100,徐汇,万体馆,32.33㎡,1室0厅1卫,"
            链家          "
,,,9500,长宁,天山,104.17㎡,3室1厅1卫,"
            链家          "
,,,3900,宝山,淞南,62.35㎡,2室1厅1卫,"
            链家          "
,,,4300,浦东,周浦,52.83㎡,2室2厅1卫,"
            链家          "
,,,5200,虹口,曲阳,50.09㎡,3室2厅1卫,"
            链家          "
,,,2200,宝山,上大,55.00㎡,1室1厅1卫,"
            链家          "
,,,4200,闵行,莘庄北广场,53.00㎡,2室1厅1卫,"
            链家          "
,,,8000,浦东,御桥,109.00㎡,3室2厅1卫,"
            链家          "
,,,5500,浦东,唐镇,62.88㎡,2室2厅2卫,"
            链家          "
,,,7800,宝山,共康,98.01㎡,3室2厅1卫,"
            链家          "
,,,30000,徐汇,徐家汇,263.76㎡,4室3厅3卫,"
            链家          "
,,,8500,徐汇,徐家汇,60.00㎡,1室1厅1卫,"
            链家          "
,,,7800,浦东,塘桥,58.37㎡,2室1厅1卫,"
            链家          "
,,,4500,松江,松江新城,133.00㎡,3室2厅2卫,"
            链家          "
,,,11000,长宁,仙霞,127.00㎡,3室2厅2卫,"
            链家          "
,,,2990,金山,金山新城,91.87㎡,2室2厅2卫,"
            链家          "
,,,42000,黄浦,老西门,162.81㎡,4室2厅2卫,"
            链家          "
,,,5500,浦东,梅园,49.99㎡,2室1厅1卫,"
            链家          "
,,,5700,浦东,三林,77.00㎡,4室0厅1卫,"
            链家          "
,,,7000,青浦,徐泾,91.05㎡,3室2厅1卫,"
            链家          "
,,,4200,松江,佘山,86.28㎡,1室1厅1卫,"
            链家          "
,,,3500,宝山,淞南,48.61㎡,1室1厅1卫,"
            链家          "
,,,4000,宝山,顾村,111.00㎡,2室1厅2卫,"
            链家          "
,,,1400,崇明,陈家镇,116.00㎡,3室2厅1卫,"
            链家          "
,,,7800,静安,闸北公园,64.00㎡,2室0厅0卫,"
            链家          "
,,,5700,长宁,镇宁路,53.82㎡,1室1厅1卫,"
            链家          "
,,,5000,杨浦,鞍山,36.93㎡,1室0厅1卫,"
            链家          "
,,,6500,静安,南京西路,49.81㎡,1室1厅1卫,"
            链家          "
,,,21000,静安,西藏北路,105.67㎡,3室2厅2卫,"
            链家          "
,,,5800,闵行,梅陇,90.00㎡,2室1厅1卫,"
            链家          "
,,,4320,青浦,朱家角,127.53㎡,3室2厅2卫,"
            链家          "
,,,6500,徐汇,徐家汇,62.52㎡,1室1厅1卫,"
            链家          "
,,,4200,长宁,新华路,11.40㎡,1室1厅1卫,"
            链家          "
,,,4400,静安,不夜城,45.62㎡,1室1厅1卫,"
            链家          "
,,,50000,闵行,华漕,355.96㎡,4室2厅4卫,"
            链家          "
,,,3600,闵行,闵浦,79.09㎡,2室2厅1卫,"
            链家          "
,,,4000,浦东,金杨,37.00㎡,1室1厅1卫,"
            链家          "
,,,67800,长宁,镇宁路,334.84㎡,5室2厅4卫,"
            链家          "
,,,1700,奉贤,南桥,139.77㎡,2室2厅2卫,"
            链家          "
,,,25000,青浦,赵巷,182.17㎡,5室2厅4卫,"
            链家          "
,,,6500,嘉定,江桥,68.16㎡,1室1厅2卫,"
            链家          "
,,,22000,长宁,西郊,177.95㎡,3室3厅3卫,"
            链家          "
,,,3600,宝山,张庙,62.17㎡,2室1厅1卫,"
            链家          "
,,,3300,闵行,吴泾,60.63㎡,2室1厅1卫,"
            链家          "
,,,3000,闵行,老闵行,56.37㎡,2室1厅1卫,"
            链家          "
,,,2500,松江,松江新城,51.00㎡,2室1厅1卫,"
            链家          "
,,,5500,宝山,大华,53.76㎡,1室2厅1卫,"
            链家          "
,,,3300,闵行,闵浦,74.00㎡,2室1厅1卫,"
            链家          "
,,,11500,青浦,徐泾,90.88㎡,3室2厅2卫,"
            链家          "
,,,3500,浦东,曹路,85.00㎡,2室2厅1卫,"
            链家          "
,,,7300,徐汇,长桥,96.59㎡,2室1厅1卫,"
            链家          "
,,,16000,浦东,杨思前滩,245.70㎡,5室2厅3卫,"
            链家          "
,,,5000,浦东,御桥,54.16㎡,1室1厅1卫,"
            链家          "
,,,2600,浦东,川沙,75.00㎡,2室1厅1卫,"
            链家          "
,,,6700,杨浦,五角场,68.90㎡,3室0厅1卫,"
            链家          "
,,,10000,松江,松江大学城,262.39㎡,4室2厅4卫,"
            链家          "
,,,5330,浦东,杨思前滩,,南,"
            自如          "
,,,5422,浦东,世博,,南,"
            自如          "
,,,6460,徐汇,徐家汇,,南,"
            自如          "
,,,5290,虹口,凉城,,南,"
            自如          "
,,,3800,虹口,四川北路,20.00㎡,1室0厅1卫,"
            链家          "
,,,35000,浦东,碧云,292.62㎡,3室2厅4卫,"
            链家          "
,,,4200,浦东,洋泾,44.56㎡,1室1厅1卫,"
            链家          "
,,,5300,普陀,甘泉宜川,74.33㎡,2室1厅1卫,"
            链家          "
,,,23500,闵行,金汇,166.00㎡,4室2厅2卫,"
            链家          "
,,,6800,松江,莘闵别墅,136.00㎡,3室2厅2卫,"
            链家          "
,,,5530,宝山,淞宝,,南,"
            自如          "
,,,6590,长宁,仙霞,,南,"
            自如          "
,,,4500,静安,阳城,44.00㎡,1室1厅1卫,"
            链家          "
,,,5230,浦东,世博,,南,"
            自如          "
,,,11700,黄浦,蓬莱公园,112.22㎡,2室2厅1卫,"
            链家          "
,,,3600,浦东,金桥,42.00㎡,1室1厅1卫,"
            链家          "
,,,6200,宝山,共康,89.39㎡,2室2厅1卫,"
            链家          "
,,,4790,长宁,中山公园,,南,"
            自如          "
,,,6500,宝山,顾村,97.41㎡,3室2厅2卫,"
            链家          "
,,,5190,闵行,古美,,南,"
            自如          "
,,,3530,宝山,通河,29.93㎡,1室1厅1卫,"
            自如          "
,,,8500,青浦,朱家角,311.91㎡,6室2厅5卫,"
            链家          "
,,,4800,黄浦,老西门,36.03㎡,1室1厅1卫,"
            链家          "
,,,4600,浦东,北蔡,53.66㎡,2室1厅1卫,"
            链家          "
,,,4390,普陀,长风,29.03㎡,1室1厅1卫,"
            自如          "
,,,10020,长宁,古北,101.45㎡,3室1厅1卫,"
            自如          "
,,,14500,浦东,杨思前滩,77.22㎡,2室2厅1卫,"
            链家          "
,,,4680,浦东,梅园,31.96㎡,1室1厅1卫,"
            链家          "
,,,5200,虹口,临平路,54.00㎡,1室1厅1卫,"
            链家          "
,,,3890,普陀,桃浦,,南,"
            自如          "
,,,3300,松江,泗泾,82.00㎡,3室1厅1卫,"
            链家          "
,,,6900,浦东,梅园,51.50㎡,2室1厅1卫,"
            链家          "
,,,6300,松江,松江老城,96.53㎡,3室2厅2卫,"
            链家          "
,,,4490,长宁,中山公园,,北,"
            自如          "
,,,2500,嘉定,菊园新区,61.16㎡,1室1厅1卫,"
            链家          "
,,,14500,长宁,天山,104.49㎡,2室2厅1卫,"
            链家          "
,,,3800,嘉定,嘉定老城,134.72㎡,3室2厅2卫,"
            链家          "
,,,4800,浦东,世博,62.00㎡,2室1厅1卫,"
            链家          "
,,,6000,长宁,仙霞,64.82㎡,2室1厅1卫,"
            链家          "
,,,27900,徐汇,徐家汇,196.99㎡,6室2厅2卫,"
            链家          "
,,,24000,虹口,北外滩,170.00㎡,4室2厅2卫,"
            链家          "
,,,5500,松江,松江新城,155.80㎡,4室2厅2卫,"
            链家          "
,,,2500,浦东,惠南,75.60㎡,3室1厅1卫,"
            链家          "
,,,13000,浦东,梅园,79.74㎡,2室2厅1卫,"
            链家          "
,,,4590,浦东,塘桥,,西南,"
            自如          "
,,,5300,浦东,御桥,68.10㎡,1室1厅1卫,"
            链家          "
,,,5890,浦东,梅园,,南,"
            自如          "
,,,3090,嘉定,嘉定老城,,南,"
            自如          "
,,,4300,闵行,莘庄南广场,57.40㎡,2室1厅1卫,"
            链家          "
,,,1200,崇明,崇明新城,51.35㎡,2室0厅1卫,"
            链家          "
,,,5430,闵行,七宝,,南,"
            自如          "
,,,4290,杨浦,中原,42.07㎡,1室1厅1卫,"
            自如          "
,,,3200,浦东,川沙,81.02㎡,2室2厅1卫,"
            链家          "
,,,5860,浦东,金桥,79.00㎡,2室1厅1卫,"
            自如          "
,,,4100,杨浦,中原,47.58㎡,2室0厅1卫,"
            链家          "
,,,4800,虹口,江湾镇,59.39㎡,1室1厅1卫,"
            链家          "
,,,5530,浦东,金桥,60.00㎡,2室1厅1卫,"
            自如          "
,,,4990,杨浦,中原,41.81㎡,1室1厅1卫,"
            自如          "
,,,8300,浦东,张江,118.47㎡,2室2厅2卫,"
            链家          "
,,,16500,宝山,罗店,598.51㎡,5室3厅4卫,"
            链家          "
,,,1300,崇明,崇明新城,60.90㎡,2室1厅1卫,"
            链家          "
,,,12770,崇明,崇明其它,312.69㎡,6室4厅5卫,"
            链家          "
,,,4729,浦东,三林,,南,"
            自如          "
,,,55000,青浦,徐泾,760.21㎡,7室5厅6卫,"
            链家          "
,,,4690,青浦,盈浦,,南,"
            自如          "
,,,5000,浦东,金杨,42.71㎡,1室1厅1卫,"
            链家          "
,,,3800,浦东,惠南,160.40㎡,4室2厅2卫,"
            链家          "
,,,5160,浦东,南码头,,南,"
            自如          "
,,,13800,长宁,中山公园,121.84㎡,3室2厅2卫,"
            链家          "
,,,3090,宝山,顾村,,南,"
            自如          "
,,,14200,青浦,徐泾,218.40㎡,5室3厅3卫,"
            链家          "
,,,5400,松江,莘闵别墅,89.61㎡,3室2厅2卫,"
            链家          "
,,,6900,青浦,朱家角,121.92㎡,4室2厅2卫,"
            链家          "
,,,9000,松江,松江新城,145.75㎡,3室1厅2卫,"
            链家          "
,,,8500,黄浦,淮海中路,42.01㎡,1室1厅1卫,"
            链家          "
,,,5790,闵行,静安新城,,南,"
            自如          "
,,,5590,普陀,曹杨,,南,"
            自如          "
,,,5390,浦东,梅园,,南,"
            自如          "
,,,4660,闵行,老闵行,,南,"
            自如          "
,,,8000,静安,南京西路,51.43㎡,1室1厅1卫,"
            链家          "
,,,28000,青浦,徐泾,219.00㎡,4室2厅3卫,"
            链家          "
,,,4400,浦东,金杨,58.24㎡,2室1厅1卫,"
            链家          "
,,,5000,宝山,张庙,76.65㎡,2室1厅1卫,"
            链家          "
,,,5660,闵行,龙柏,,南,"
            自如          "
,,,3500,松江,莘闵别墅,99.85㎡,2室2厅1卫,"
            链家          "
,,,150000,浦东,陆家嘴,391.13㎡,5室2厅4卫,"
            链家          "
,,,10800,普陀,光新,100.59㎡,2室1厅1卫,"
            链家          "
,,,5230,浦东,洋泾,,南,"
            自如          "
,,,9000,嘉定,外冈,194.54㎡,4室2厅4卫,"
            链家          "
,,,5390,浦东,三林,,南,"
            自如          "
,,,4030,杨浦,黄兴公园,,北,"
            自如          "
,,,8000,静安,南京西路,51.43㎡,1室1厅1卫,"
            链家          "
,,,4460,浦东,梅园,,西,"
            自如          "
,,,28000,青浦,徐泾,219.00㎡,4室2厅3卫,"
            链家          "
,,,4400,浦东,金杨,58.24㎡,2室1厅1卫,"
            链家          "
,,,5000,宝山,张庙,76.65㎡,2室1厅1卫,"
            链家          "
,,,5260,普陀,长风,,南,"
            自如          "
,,,3500,松江,莘闵别墅,99.85㎡,2室2厅1卫,"
            链家          "
,,,150000,浦东,陆家嘴,391.13㎡,5室2厅4卫,"
            链家          "
,,,10800,普陀,光新,100.59㎡,2室1厅1卫,"
            链家          "
,,,6790,黄浦,打浦桥,,西南,"
            自如          "
,,,7230,静安,南京西路,,南,"
            自如          "
,,,9000,嘉定,外冈,194.54㎡,4室2厅4卫,"
            链家          "
,,,22000,静安,江宁路,146.18㎡,3室2厅2卫,"
            链家          "
,,,9500,松江,莘闵别墅,170.92㎡,4室2厅3卫,"
            链家          "
,,,4050,松江,泗泾,95.01㎡,3室1厅1卫,"
            链家          "
,,,5560,普陀,长寿路,,北,"
            自如          "
,,,8800,徐汇,徐家汇,74.81㎡,2室1厅1卫,"
            链家          "
,,,5790,浦东,世博,,南,"
            自如          "
,,,8490,杨浦,五角场,77.50㎡,2室1厅1卫,"
            自如          "
,,,2100,金山,金山新城,90.18㎡,2室1厅1卫,"
            链家          "
,,,14000,青浦,徐泾,117.89㎡,3室2厅2卫,"
            链家          "
,,,8430,徐汇,康健,88.00㎡,2室1厅1卫,"
            自如          "
,,,13200,浦东,碧云,165.00㎡,3室2厅2卫,"
            链家          "
,,,11500,松江,松江大学城,145.38㎡,3室2厅2卫,"
            链家          "
,,,5300,浦东,金杨,63.00㎡,2室1厅1卫,"
            链家          "
,,,9000,青浦,赵巷,127.61㎡,3室2厅3卫,"
            链家          "
,,,10000,静安,南京西路,44.34㎡,1室1厅1卫,"
            链家          "
,,,9000,浦东,北蔡,74.69㎡,2室1厅1卫,"
            链家          "
,,,4500,杨浦,黄兴公园,54.21㎡,1室1厅1卫,"
            链家          "
,,,9980,浦东,金杨,151.74㎡,3室2厅1卫,"
            链家          "
,,,2800,浦东,惠南,96.30㎡,3室2厅1卫,"
            链家          "
,,,13500,长宁,中山公园,139.00㎡,2室2厅2卫,"
            链家          "
,,,27000,长宁,古北,134.40㎡,3室2厅2卫,"
            链家          "
,,,4530,宝山,大场镇,,南,"
            自如          "
,,,10500,普陀,长征,125.84㎡,3室2厅1卫,"
            链家          "
,,,4000,虹口,曲阳,43.40㎡,1室1厅1卫,"
            链家          "
,,,7700,徐汇,徐汇滨江,97.01㎡,2室1厅2卫,"
            链家          "
,,,15300,普陀,长寿路,149.76㎡,3室2厅2卫,"
            链家          "
,,,6800,徐汇,田林,53.68㎡,2室1厅1卫,"
            链家          "
,,,5500,长宁,中山公园,40.00㎡,1室1厅1卫,"
            链家          "
,,,5300,松江,九亭,94.11㎡,2室2厅1卫,"
            链家          "
,,,6000,静安,静安寺,46.38㎡,1室1厅1卫,"
            链家          "
,,,4400,杨浦,周家嘴路,55.65㎡,2室1厅1卫,"
            链家          "
,,,15000,徐汇,徐家汇,119.05㎡,2室2厅2卫,"
            链家          "
,,,6590,杨浦,新江湾城,,南,"
            自如          "
,,,1500,崇明,陈家镇,78.73㎡,2室2厅1卫,"
            链家          "
,,,6960,杨浦,东外滩,,南,"
            自如          "
,,,17000,浦东,北蔡,162.31㎡,4室2厅2卫,"
            链家          "
,,,5460,浦东,陆家嘴,,南,"
            自如          "
,,,11500,静安,不夜城,82.60㎡,2室2厅2卫,"
            链家          "
,,,3200,金山,金山新城,109.90㎡,3室2厅2卫,"
            链家          "
,,,5760,浦东,张江,,南,"
            自如          "
,,,28000,徐汇,徐汇滨江,182.00㎡,3室2厅2卫,"
            链家          "
,,,6500,松江,九亭,85.01㎡,4室2厅2卫,"
            链家          "
,,,14500,徐汇,徐家汇,111.67㎡,3室2厅1卫,"
            链家          "
,,,8800,浦东,北蔡,168.59㎡,5室3厅2卫,"
            链家          "
,,,6990,浦东,御桥,,南,"
            自如          "
,,,23000,闵行,金虹桥,126.62㎡,3室1厅2卫,"
            曼舍          "
,,,4100,普陀,长风,39.00㎡,1室0厅1卫,"
            链家          "
,,,14500,宝山,顾村,237.06㎡,4室2厅2卫,"
            链家          "
,,,5160,浦东,梅园,,南,"
            自如          "
,,,2500,崇明,崇明新城,85.02㎡,2室2厅1卫,"
            链家          "
,,,78000,浦东,张江,435.87㎡,6室3厅3卫,"
            链家          "
,,,5600,松江,九亭,125.39㎡,3室2厅1卫,"
            链家          "
,,,4160,虹口,凉城,,西,"
            自如          "
,,,13000,浦东,高行,292.93㎡,4室3厅3卫,"
            链家          "
,,,27000,黄浦,黄浦滨江,175.18㎡,3室2厅2卫,"
            链家          "
,,,69500,浦东,陆家嘴,677.00㎡,8室3厅2卫,"
            链家          "
,,,4530,徐汇,斜土路,,北,"
            自如          "
,,,3830,静安,彭浦,,南,"
            自如          "
,,,5730,徐汇,徐家汇,,西南,"
            自如          "
,,,3890,宝山,淞南,,南,"
            自如          "
,,,13500,浦东,康桥,308.93㎡,4室2厅4卫,"
            链家          "
,,,5200,闵行,春申,55.00㎡,1室1厅1卫,"
            链家          "
,,,8000,松江,泗泾,120.00㎡,4室2厅2卫,"
            链家          "
,,,8600,宝山,张庙,114.00㎡,5室3厅2卫,"
            链家          "
,,,2200,宝山,大场镇,30.44㎡,1室0厅1卫,"
            链家          "
,,,5100,浦东,北蔡,52.31㎡,1室1厅1卫,"
            链家          "
,,,4730,浦东,洋泾,,南,"
            自如          "
,,,9900,浦东,梅园,69.56㎡,1室1厅1卫,"
            链家          "
,,,1600,奉贤,南桥,100.00㎡,3室1厅1卫,"
            链家          "
